Time,User,Thread ID,Server ID,Command,Argument
2024-05-17 17:04:09.735038,[thaituan] @ localhost [127.0.0.1],20,1,Connect,thaituan@localhost on testdb using SSL/TLS
2024-05-17 17:04:09.738954,thaituan[thaituan] @ localhost [127.0.0.1],20,1,Query,SET NAMES 'utf8mb4' COLLATE 'utf8mb4_general_ci'
2024-05-17 17:04:09.739497,thaituan[thaituan] @ localhost [127.0.0.1],20,1,Query,SET NAMES utf8mb4
2024-05-17 17:04:09.739766,thaituan[thaituan] @ localhost [127.0.0.1],20,1,Query,set autocommit=0
2024-05-17 17:04:09.740429,thaituan[thaituan] @ localhost [127.0.0.1],20,1,Query,"SELECT event_time, user_host, thread_id, server_id, command_type, argument FROM mysql.general_log"
2024-05-17 17:04:10.082303,thaituan[thaituan] @ localhost [127.0.0.1],20,1,Quit,
2024-05-17 17:09:31.347581,thaituan[thaituan] @ localhost [127.0.0.1],9,1,Query,"SELECT current_user()
LIMIT 0, 1000"
2024-05-17 17:09:31.362987,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_statements_current st JOIN performance_schema.threads thr ON thr.thread_id = st.thread_id WHERE thr.processlist_id = 9
2024-05-17 17:09:31.388412,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_stages_history_long st WHERE st.nesting_event_id = 51
2024-05-17 17:09:31.390753,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_waits_history_long st WHERE st.nesting_event_id = 51
2024-05-17 17:09:52.887229,thaituan[thaituan] @ localhost [127.0.0.1],9,1,Query,"select * from mysql.user
LIMIT 0, 1000"
2024-05-17 17:09:52.899774,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_statements_current st JOIN performance_schema.threads thr ON thr.thread_id = st.thread_id WHERE thr.processlist_id = 9
2024-05-17 17:09:52.903350,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_stages_history_long st WHERE st.nesting_event_id = 53
2024-05-17 17:09:52.905752,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_waits_history_long st WHERE st.nesting_event_id = 53
2024-05-17 17:09:52.908632,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SHOW INDEX FROM `mysql`.`user`
2024-05-17 17:19:39.322208,thaituan[thaituan] @ localhost [127.0.0.1],9,1,Query,"SELECT event_time, user_host, argument 
FROM mysql.general_log 
WHERE command_type = 'Connect' OR command_type = 'Quit'
LIMIT 0, 1000"
2024-05-17 17:19:39.347663,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_statements_current st JOIN performance_schema.threads thr ON thr.thread_id = st.thread_id WHERE thr.processlist_id = 9
2024-05-17 17:19:39.350141,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_stages_history_long st WHERE st.nesting_event_id = 57
2024-05-17 17:19:39.351983,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_waits_history_long st WHERE st.nesting_event_id = 57
